date,season,home_team,away_team,result,bet_on,prob_model,odd,value,won,stake_flat,pl_flat,bankroll_flat,stake_kelly,pl_kelly,bankroll_kelly
,2025,Grêmio FBPA,CA Mineiro,H,H,0.551,2.74,1.51,True,20.0,34.8,1034.8,50.0,87.0,1087.0
,2025,Cruzeiro EC,Mirassol FC,H,,,,,,0.0,0.0,1034.8,0.0,0.0,1087.0
,2025,CR Flamengo,SC Internacional,D,,,,,,0.0,0.0,1034.8,0.0,0.0,1087.0
,2025,SE Palmeiras,Botafogo FR,D,,,,,,0.0,0.0,1034.8,0.0,0.0,1087.0
,2025,CR Vasco da Gama,Santos FC,H,H,0.513,2.33,1.195,True,20.7,27.53,1062.33,39.85,53.0,1140.0
,2025,EC Bahia,SC Corinthians Paulista,D,H,0.604,1.8,1.087,False,21.25,-21.25,1041.08,30.87,-30.87,1109.12
,2025,SC Corinthians Paulista,CR Vasco da Gama,H,H,0.815,1.58,1.288,True,20.82,12.08,1053.16,55.46,32.16,1141.29
,2025,CA Mineiro,São Paulo FC,D,H,0.745,2.02,1.504,False,21.06,-21.06,1032.09,57.06,-57.06,1084.22
,2025,Fluminense FC,RB Bragantino,H,H,0.65,1.86,1.21,True,20.64,17.75,1049.84,54.21,46.62,1130.85
,2025,SC Internacional,Cruzeiro EC,H,H,0.815,1.62,1.32,True,21.0,13.02,1062.86,56.54,35.06,1165.9
,2025,EC Vitória,CR Flamengo,A,,,,,,0.0,0.0,1062.86,0.0,0.0,1165.9
,2025,Santos FC,EC Bahia,D,H,0.649,2.11,1.369,False,21.26,-21.26,1041.61,58.3,-58.3,1107.61
,2025,RB Bragantino,Botafogo FR,H,H,0.468,3.05,1.426,True,20.83,42.71,1084.31,55.38,113.53,1221.14
,2025,SE Palmeiras,SC Corinthians Paulista,H,A,0.47,5.41,2.545,False,21.69,-21.69,1062.62,61.06,-61.06,1160.08
,2025,EC Bahia,Mirassol FC,D,,,,,,0.0,0.0,1062.62,0.0,0.0,1160.08
,2025,São Paulo FC,Cruzeiro EC,D,,,,,,0.0,0.0,1062.62,0.0,0.0,1160.08
,2025,Grêmio FBPA,CR Flamengo,A,,,,,,0.0,0.0,1062.62,0.0,0.0,1160.08
,2025,Fluminense FC,Santos FC,H,H,0.604,1.81,1.093,True,21.25,17.21,1079.84,33.19,26.88,1186.96
,2025,CA Mineiro,EC Vitória,D,,,,,,0.0,0.0,1079.84,0.0,0.0,1186.96
,2025,Botafogo FR,São Paulo FC,D,H,0.626,1.85,1.157,False,21.6,-21.6,1058.24,54.92,-54.92,1132.04
