date,season,home_team,away_team,result,bet_on,prob_model,odd,value,won,stake_flat,pl_flat,bankroll_flat,stake_kelly,pl_kelly,bankroll_kelly
,2025,Grêmio FBPA,CA Mineiro,H,,,,,,0.0,0.0,1000.0,0.0,0.0,1000.0
,2025,Cruzeiro EC,Mirassol FC,H,,,,,,0.0,0.0,1000.0,0.0,0.0,1000.0
,2025,CR Flamengo,SC Internacional,D,,,,,,0.0,0.0,1000.0,0.0,0.0,1000.0
,2025,SE Palmeiras,Botafogo FR,D,,,,,,0.0,0.0,1000.0,0.0,0.0,1000.0
,2025,CR Vasco da Gama,Santos FC,H,,,,,,0.0,0.0,1000.0,0.0,0.0,1000.0
,2025,EC Bahia,SC Corinthians Paulista,D,H,0.625,1.8,1.126,False,20.0,-20.0,980.0,31.44,-31.44,968.56
,2025,SC Corinthians Paulista,CR Vasco da Gama,H,H,0.7,1.58,1.107,True,19.6,11.37,991.37,35.6,20.65,989.21
,2025,CA Mineiro,São Paulo FC,D,H,0.683,2.02,1.38,False,19.83,-19.83,971.54,49.46,-49.46,939.75
,2025,Fluminense FC,RB Bragantino,H,,,,,,0.0,0.0,971.54,0.0,0.0,939.75
,2025,SC Internacional,Cruzeiro EC,H,H,0.77,1.62,1.247,True,19.43,12.05,983.59,46.99,29.13,968.88
,2025,EC Vitória,CR Flamengo,A,,,,,,0.0,0.0,983.59,0.0,0.0,968.88
,2025,Santos FC,EC Bahia,D,H,0.647,2.11,1.365,False,19.67,-19.67,963.92,48.44,-48.44,920.44
,2025,RB Bragantino,Botafogo FR,H,,,,,,0.0,0.0,963.92,0.0,0.0,920.44
,2025,SE Palmeiras,SC Corinthians Paulista,H,,,,,,0.0,0.0,963.92,0.0,0.0,920.44
,2025,EC Bahia,Mirassol FC,D,,,,,,0.0,0.0,963.92,0.0,0.0,920.44
,2025,São Paulo FC,Cruzeiro EC,D,,,,,,0.0,0.0,963.92,0.0,0.0,920.44
,2025,Grêmio FBPA,CR Flamengo,A,,,,,,0.0,0.0,963.92,0.0,0.0,920.44
,2025,Fluminense FC,Santos FC,H,H,0.678,1.81,1.227,True,19.28,15.62,979.53,46.02,37.28,957.72
,2025,CA Mineiro,EC Vitória,D,,,,,,0.0,0.0,979.53,0.0,0.0,957.72
,2025,Botafogo FR,São Paulo FC,D,H,0.605,1.85,1.119,False,19.59,-19.59,959.94,26.8,-26.8,930.92
,2025,Mirassol FC,Grêmio FBPA,H,,,,,,0.0,0.0,959.94,0.0,0.0,930.92
,2025,SC Corinthians Paulista,Fluminense FC,A,,,,,,0.0,0.0,959.94,0.0,0.0,930.92
,2025,SC Internacional,SE Palmeiras,A,,,,,,0.0,0.0,959.94,0.0,0.0,930.92
,2025,Santos FC,CA Mineiro,H,,,,,,0.0,0.0,959.94,0.0,0.0,930.92
,2025,Cruzeiro EC,EC Bahia,H,,,,,,0.0,0.0,959.94,0.0,0.0,930.92
,2025,CR Vasco da Gama,CR Flamengo,D,,,,,,0.0,0.0,959.94,0.0,0.0,930.92
,2025,Grêmio FBPA,SC Internacional,D,,,,,,0.0,0.0,959.94,0.0,0.0,930.92
,2025,São Paulo FC,Santos FC,H,H,0.678,2.38,1.614,True,19.2,26.49,986.44,46.55,64.23,995.15
,2025,CA Mineiro,Botafogo FR,H,H,0.561,2.24,1.257,True,19.73,24.46,1010.9,41.3,51.21,1046.36
,2025,Fluminense FC,EC Vitória,D,H,0.716,1.68,1.203,False,20.22,-20.22,990.68,52.32,-52.32,994.04
,2025,RB Bragantino,Cruzeiro EC,H,,,,,,0.0,0.0,990.68,0.0,0.0,994.04
,2025,Mirassol FC,CA Mineiro,D,,,,,,0.0,0.0,990.68,0.0,0.0,994.04
,2025,Botafogo FR,Fluminense FC,H,,,,,,0.0,0.0,990.68,0.0,0.0,994.04
,2025,CR Flamengo,SC Corinthians Paulista,H,,,,,,0.0,0.0,990.68,0.0,0.0,994.04
,2025,SE Palmeiras,EC Bahia,A,,,,,,0.0,0.0,990.68,0.0,0.0,994.04
,2025,Cruzeiro EC,CR Vasco da Gama,H,,,,,,0.0,0.0,990.68,0.0,0.0,994.04
,2025,EC Vitória,Grêmio FBPA,D,,,,,,0.0,0.0,990.68,0.0,0.0,994.04
,2025,Santos FC,RB Bragantino,A,,,,,,0.0,0.0,990.68,0.0,0.0,994.04
,2025,SC Corinthians Paulista,SC Internacional,H,,,,,,0.0,0.0,990.68,0.0,0.0,994.04
,2025,EC Bahia,Botafogo FR,H,,,,,,0.0,0.0,990.68,0.0,0.0,994.04
,2025,CR Vasco da Gama,SE Palmeiras,A,A,0.846,1.61,1.362,True,19.81,12.09,1002.77,49.7,30.32,1024.36
,2025,Grêmio FBPA,Santos FC,H,,,,,,0.0,0.0,1002.77,0.0,0.0,1024.36
,2025,Cruzeiro EC,CR Flamengo,H,,,,,,0.0,0.0,1002.77,0.0,0.0,1024.36
,2025,RB Bragantino,Mirassol FC,H,,,,,,0.0,0.0,1002.77,0.0,0.0,1024.36
,2025,EC Vitória,CR Vasco da Gama,H,H,0.552,1.98,1.094,True,20.06,19.65,1022.42,19.63,19.23,1043.59
,2025,Mirassol FC,SC Corinthians Paulista,H,,,,,,0.0,0.0,1022.42,0.0,0.0,1043.59
,2025,Grêmio FBPA,RB Bragantino,D,,,,,,0.0,0.0,1022.42,0.0,0.0,1043.59
,2025,CR Flamengo,EC Bahia,H,,,,,,0.0,0.0,1022.42,0.0,0.0,1043.59
,2025,SE Palmeiras,São Paulo FC,H,,,,,,0.0,0.0,1022.42,0.0,0.0,1043.59
,2025,CA Mineiro,Fluminense FC,H,,,,,,0.0,0.0,1022.42,0.0,0.0,1043.59
,2025,Botafogo FR,SC Internacional,H,,,,,,0.0,0.0,1022.42,0.0,0.0,1043.59
,2025,São Paulo FC,Grêmio FBPA,H,,,,,,0.0,0.0,1022.42,0.0,0.0,1043.59
,2025,SC Corinthians Paulista,Santos FC,H,H,0.596,2.17,1.292,True,20.45,23.92,1046.35,52.13,61.0,1104.59
,2025,EC Bahia,EC Vitória,H,,,,,,0.0,0.0,1046.35,0.0,0.0,1104.59
,2025,RB Bragantino,SE Palmeiras,A,,,,,,0.0,0.0,1046.35,0.0,0.0,1104.59
