time,titulo_pct,libertadores_pct,sulamericana_pct,rebaixamento_pct,pts_esperados,pts_std,pos_esperada
SE Palmeiras,23.9,74.6,93.7,1.6,61.9,8.2,4.7
Fluminense FC,13.8,61.5,88.0,3.5,59.1,8.4,6.2
CR Flamengo,13.4,62.4,89.0,3.3,58.9,8.2,6.1
EC Bahia,11.2,53.7,84.2,4.3,57.8,8.6,7.0
São Paulo FC,8.1,50.4,84.4,4.2,57.3,8.0,7.2
SC Corinthians Paulista,6.8,43.1,77.7,7.5,55.3,8.5,8.2
RB Bragantino,5.1,36.7,72.0,9.6,54.3,8.5,9.0
Grêmio FBPA,2.8,28.0,64.2,13.8,52.2,8.3,10.2
Botafogo FR,3.5,31.2,64.8,15.6,52.1,8.8,10.0
Cruzeiro EC,3.5,30.5,64.5,16.6,51.7,8.9,10.2
CA Paranaense,1.8,22.0,59.2,17.3,51.1,8.2,11.0
Santos FC,2.2,22.6,55.5,20.7,50.4,8.7,11.3
Mirassol FC,0.7,17.0,56.3,17.8,50.3,7.5,11.5
EC Vitória,0.8,14.2,45.3,27.7,48.3,8.3,12.7
CA Mineiro,0.7,12.2,41.0,31.2,47.2,8.1,13.1
SC Internacional,0.5,10.5,37.6,33.7,46.7,7.9,13.5
CR Vasco da Gama,0.7,10.0,33.2,39.8,45.5,8.4,14.0
Coritiba FBC,0.3,7.7,33.0,39.1,45.5,8.3,14.2
Clube do Remo,0.3,6.7,32.4,40.3,45.1,8.2,14.4
Chapecoense AF,0.2,5.0,24.0,52.6,42.9,8.7,15.5
