match_id,date,season,matchday,status,home_team,away_team,home_goals,away_goals,home_shots,away_shots,home_corners,away_corners,home_squad_value,away_squad_value,home_avg_age,away_avg_age,attendance
51139,2003-03-29,2003,1,FINISHED,CA Paranaense,Grêmio FBPA,2,0,,,,,,,,,
50828,2003-03-29,2003,1,FINISHED,Guarani FC,CR Vasco da Gama,4,2,,,,,,,,,
50946,2003-03-30,2003,1,FINISHED,Goiás EC,Paysandu SC,2,2,,,,,,,,,
50897,2003-03-30,2003,1,FINISHED,CR Flamengo,Coritiba FBC,1,1,,,,,,,,,
51042,2003-03-30,2003,1,FINISHED,SC Corinthians Paulista,CA Mineiro,0,3,,,,,,,,,
50911,2003-03-30,2003,1,FINISHED,Fortaleza EC,EC Bahia,0,0,,,,,,,,,
51068,2003-03-30,2003,1,FINISHED,EC Vitória,Figueirense FC,1,1,,,,,,,,,
51204,2003-03-30,2003,1,FINISHED,SC Internacional,Ponte Preta,1,1,,,,,,,,,
50867,2003-03-30,2003,1,FINISHED,Cruzeiro EC,São Caetano,2,2,,,,,,,,,
50980,2003-03-30,2003,1,FINISHED,Santos FC,Paraná Clube,2,2,,,,,,,,,
51158,2003-03-30,2003,1,FINISHED,Criciúma EC,Fluminense FC,2,0,,,,,,,,,
50963,2003-03-30,2003,1,FINISHED,Juventude,São Paulo FC,2,2,,,,,,,,,
51053,2003-04-05,2003,2,FINISHED,Coritiba FBC,SC Internacional,0,1,,,,,,,,,
51120,2003-04-05,2003,2,FINISHED,CA Mineiro,Santos FC,0,0,,,,,,,,,
50802,2003-04-05,2003,2,FINISHED,Grêmio FBPA,Guarani FC,3,1,,,,,,,,,
50994,2003-04-05,2003,2,FINISHED,Fluminense FC,Fortaleza EC,1,1,,,,,,,,,
51093,2003-04-06,2003,2,FINISHED,Paysandu SC,EC Vitória,1,2,,,,,,,,,
51101,2003-04-06,2003,2,FINISHED,Ponte Preta,Juventude,1,0,,,,,,,,,
50835,2003-04-06,2003,2,FINISHED,Paraná Clube,CA Paranaense,3,0,,,,,,,,,
51232,2003-04-06,2003,2,FINISHED,CR Vasco da Gama,Goiás EC,6,4,,,,,,,,,
51252,2003-04-06,2003,2,FINISHED,Figueirense FC,SC Corinthians Paulista,3,3,,,,,,,,,
50885,2003-04-06,2003,2,FINISHED,EC Bahia,CR Flamengo,1,2,,,,,,,,,
51024,2003-04-06,2003,2,FINISHED,São Paulo FC,Cruzeiro EC,2,4,,,,,,,,,
51192,2003-04-06,2003,2,FINISHED,São Caetano,Criciúma EC,3,2,,,,,,,,,
51090,2003-04-10,2003,4,FINISHED,Paysandu SC,Santos FC,2,1,,,,,,,,,
51196,2003-04-12,2003,3,FINISHED,SC Internacional,EC Bahia,2,0,,,,,,,,,
